trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.95}",25,0,-88.67103964007451,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 1, 'e': 0.8999999999999999}",25,0,-23.071680764172154,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 1, 'e': 0.8499999999999999}",20,0,-141.87354438930834,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 1, 'e': 0.7999999999999998}",20,0,-150.81472632990378,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 1, 'e': 0.7499999999999998}",30,2,-98.9102307495692,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 1}",1
6,False,"{'a': 1, 'e': 0.6999999999999997}",20,0,-103.46267025735997,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 1, 'e': 0.6499999999999997}",20,0,-65.1687840792469,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 1, 'e': 0.5999999999999996}",20,0,-61.60166519655893,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 1, 'e': 0.5499999999999996}",30,0,-68.8490691993154,"{0: 21, 1: 4, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 1, 'e': 0.4999999999999996}",20,0,-90.84401541438154,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 1, 'e': 0.4499999999999996}",25,0,-121.66109474686806,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 1, 'e': 0.39999999999999963}",30,4,-56.98194615206822,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 1, 'e': 0.34999999999999964}",35,13,-88.63576628887564,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 1}",1
14,False,"{'a': 1, 'e': 0.29999999999999966}",30,0,-48.46304434368098,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 1, 'e': 0.24999999999999967}",30,0,-86.03161077154826,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 1, 'e': 0.19999999999999968}",20,12,-9.345440730319341,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 1, 'e': 0.1499999999999997}",30,1,-66.2982827886073,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 1, 'e': 0.09999999999999969}",25,17,15.386888297066612,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 1, 'e': 0.049999999999999684}",25,0,10.69581553968923,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 1, 'e': -3.191891195797325e-16}",25,9,-36.16327868434153,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-77.77896854882671,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,15,-36.08906062856732,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,-106.99538210339267,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,6.829258170920603,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,8,20.937988703732234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,20,8.003022310806333,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,-97.5132581653296,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,15,-22.911190651827088,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,19,19.085396766281708,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,4,11.540759495202767,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
