trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.99}",20,0,-106.45524819844064,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.9801}",20,0,-63.399217714560336,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.9702989999999999}",20,0,-88.52072716218015,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.96059601}",30,0,-199.12549143304852,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.7, 'e': 0.9509900498999999}",25,0,-109.13131463029814,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.9414801494009999}",20,0,-150.4786311670816,"{0: 11, 1: 5, 2: 0, 3: 1, 4: 3}",0
7,False,"{'a': 0.7, 'e': 0.9320653479069899}",20,0,-59.01268079999447,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.92274469442792}",25,0,-162.0460439316932,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.7, 'e': 0.9135172474836407}",20,0,-168.05802666381445,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.7, 'e': 0.9043820750088043}",25,0,-166.529307986201,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.7, 'e': 0.8953382542587163}",20,0,-3.1518368683877513,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.8863848717161291}",25,0,-115.08423868087215,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.8775210229989678}",20,0,-99.96419098835635,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",1
14,False,"{'a': 0.7, 'e': 0.8687458127689781}",25,0,-54.38613822445765,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.8600583546412883}",20,0,-16.153263511844642,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.8514577710948754}",30,0,-111.60311869961234,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.7, 'e': 0.8429431933839266}",20,0,-52.70807189445675,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.8345137614500874}",30,0,-106.9112554608893,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.8261686238355865}",20,0,-117.40729827603303,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
20,False,"{'a': 0.7, 'e': 0.8179069375972307}",20,1,-137.40735241703786,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 2}",1
21,False,"{'a': 0.7, 'e': 0.8097278682212583}",20,0,-144.58475358084857,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",1
22,False,"{'a': 0.7, 'e': 0.8016305895390458}",20,0,-158.81509082239427,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
23,False,"{'a': 0.7, 'e': 0.7936142836436553}",25,0,-212.91912202720033,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
24,False,"{'a': 0.7, 'e': 0.7856781408072188}",20,10,-65.97347959930536,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
25,False,"{'a': 0.7, 'e': 0.7778213593991465}",20,0,-137.43693718863383,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
26,False,"{'a': 0.7, 'e': 0.7700431458051551}",30,3,-38.17450860676812,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.7623427143471035}",20,0,-136.17998770504255,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
28,False,"{'a': 0.7, 'e': 0.7547192872036325}",20,12,-9.902245483498055,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.7471720943315961}",20,0,-119.88508771482594,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.7397003733882802}",20,0,-18.79887220706204,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.7, 'e': 0.7323033696543974}",25,0,-123.96073346528745,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.7249803359578534}",20,0,1.7823283896811866,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.7, 'e': 0.7177305325982748}",20,0,-99.56996746184781,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.7, 'e': 0.7105532272722921}",30,0,-128.59725737668003,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
35,False,"{'a': 0.7, 'e': 0.7034476949995692}",30,0,-74.01646581145583,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.7, 'e': 0.6964132180495735}",35,0,-88.65157748046236,"{0: 25, 1: 3, 2: 4, 3: 3, 4: 0}",0
37,False,"{'a': 0.7, 'e': 0.6894490858690777}",30,0,-131.88925135469955,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
38,False,"{'a': 0.7, 'e': 0.682554595010387}",25,8,-40.361451140325386,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.6757290490602831}",30,0,-113.2500048227893,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
40,False,"{'a': 0.7, 'e': 0.6689717585696803}",25,6,0.38475745149593,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.6622820409839835}",20,0,-48.74210239152339,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.7, 'e': 0.6556592205741436}",25,0,-168.82966174188581,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
43,False,"{'a': 0.7, 'e': 0.6491026283684022}",25,0,-58.91599300937624,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
44,False,"{'a': 0.7, 'e': 0.6426116020847181}",30,19,-54.27985817190861,"{0: 7, 1: 0, 2: 1, 3: 3, 4: 0}",1
