trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,4,-197.33946207301818,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 3}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.36156904973744,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.91298637409,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.56279576542198,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-123.81296952072177,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.90586365670822,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.104473959739884,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.03599222662264,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.0550443546231,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.0308464858873,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,8,-59.80705132737148,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-77.87818087436486,"{0: 22, 1: 5, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.77252256610626,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.89146576506621,"{0: 12, 1: 1, 2: 7, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.980687570849,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.42828192836352,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.90948501711445,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.98647761041674,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.89148671702529,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.7687282999603,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0}",20,0,-71.31231817246051,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 0}",25,0,-147.0038743329313,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 0}",20,0,-171.08342611851876,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 0}",25,15,-9.54004554743386,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0}",20,0,-135.50115352677278,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 0}",20,0,-150.27652229457772,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 0}",25,0,-125.81983788479378,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 0}",30,0,-169.57504199282903,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 0}",25,7,-66.60647200002572,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0}",20,0,-173.9044625526241,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 3}",0
